id,user_id,zoo_id,visit_date
c4a35a51-c961-49a2-a42a-63b53ea90a16,6abaee05-fddc-4f96-bdcc-f72eccb15b9f,7ced7f33-1d5e-4976-b24e-bda15789cb72,2023-01-01
2a53b237-9ee7-47b8-af28-8a0a765f60a3,6abaee05-fddc-4f96-bdcc-f72eccb15b9f,ab91a288-4cb7-421c-b27e-04aca5cf49db,2023-01-01
b79ce0da-1376-424c-9bfe-4d53ed73dd0e,6abaee05-fddc-4f96-bdcc-f72eccb15b9f,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
816fbf74-67b3-4e08-b2d6-084b15954f75,6278296c-0247-4389-bb80-e9f96bad0c07,7ced7f33-1d5e-4976-b24e-bda15789cb72,2023-01-01
4c77b3e9-807a-4c83-86f0-916521afb006,6278296c-0247-4389-bb80-e9f96bad0c07,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
57f3da01-a11e-4ac3-894c-9d4f99151d8b,6278296c-0247-4389-bb80-e9f96bad0c07,52d7a3c1-76e1-41f9-a014-c3011744f6af,2023-01-01
48da00e6-33e3-4121-8bae-6726c9c562e1,c23edf50-2192-434b-b5de-594a5e58f33c,9ec17bed-f3b0-4a5c-ac70-8eb5687cc739,2023-01-01
83f62c13-3dfd-491c-9cfb-ec3b4422f484,c23edf50-2192-434b-b5de-594a5e58f33c,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
44ae559e-0d1c-438d-95f5-3185b8c71f25,c23edf50-2192-434b-b5de-594a5e58f33c,061aec19-b80d-4c31-a756-2601aa41c6b7,2023-01-01
480571d8-b23c-4285-a744-ccb2f666708d,cc52694d-ed00-4590-8922-45b940f40f5c,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
f178677c-cd21-43fe-a8f2-78a82d2e77b0,cc52694d-ed00-4590-8922-45b940f40f5c,8838f8b8-3b9c-49d9-9a95-acceb50df0b6,2023-01-01
ff387ef1-0ced-4020-94b0-aae4b7da9e71,cc52694d-ed00-4590-8922-45b940f40f5c,9ec17bed-f3b0-4a5c-ac70-8eb5687cc739,2023-01-01
9e9c9daf-f67b-4d95-a86b-56d92617e01a,cabbe0fa-f8a7-4c3a-9236-aaf30345ada6,7ced7f33-1d5e-4976-b24e-bda15789cb72,2023-01-01
d0d173cc-99b2-418d-9730-ae4ce030b8bc,cabbe0fa-f8a7-4c3a-9236-aaf30345ada6,9ec17bed-f3b0-4a5c-ac70-8eb5687cc739,2023-01-01
3d9d2bb7-a5e8-4609-9df1-40fea01b126a,cabbe0fa-f8a7-4c3a-9236-aaf30345ada6,52d7a3c1-76e1-41f9-a014-c3011744f6af,2023-01-01
92d32924-84e6-49e6-99b5-efb09d87aa69,7ff26ea3-984b-4546-b69f-4a085fb5274a,3bc5be33-8cd0-4007-b1a0-fe1493321c4d,2023-01-01
bbf5ba84-f24e-4627-8096-0d238cf8bb9c,7ff26ea3-984b-4546-b69f-4a085fb5274a,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
5fbdf1bf-1e33-4699-b71c-28ae007d7358,7ff26ea3-984b-4546-b69f-4a085fb5274a,d56ac378-7e8f-406f-ac16-6c401d64a333,2023-01-01
461fe181-4e9f-4b47-931f-2437dde6566a,ae8c4a48-5c9e-4b23-b812-b2ff62c454d5,52d7a3c1-76e1-41f9-a014-c3011744f6af,2023-01-01
bed7d88e-213e-4b02-ad6a-cec7b2f2cf15,ae8c4a48-5c9e-4b23-b812-b2ff62c454d5,7ced7f33-1d5e-4976-b24e-bda15789cb72,2023-01-01
942a0159-825b-44c3-a44a-6a06e7b784fc,ae8c4a48-5c9e-4b23-b812-b2ff62c454d5,ab91a288-4cb7-421c-b27e-04aca5cf49db,2023-01-01
f36bb0b1-3c26-46c1-a3f0-400f26e3b60c,517dd7c6-8177-4ef8-a8fd-4c25282db7fa,ab91a288-4cb7-421c-b27e-04aca5cf49db,2023-01-01
3ae296eb-4781-4994-97e8-a5e7749b4840,517dd7c6-8177-4ef8-a8fd-4c25282db7fa,061aec19-b80d-4c31-a756-2601aa41c6b7,2023-01-01
077d9e28-26d5-4334-9a30-7f6a9d7b5910,517dd7c6-8177-4ef8-a8fd-4c25282db7fa,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
9729c28e-3985-4bb1-bb8f-7e32a4ac45ea,32beb94f-7706-48e8-a679-4b0411b2b118,f5a367f6-ce08-4992-bf08-5e8974288425,2023-01-01
346c0537-c5c2-4afc-94c1-de7ec696909e,32beb94f-7706-48e8-a679-4b0411b2b118,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
03c963eb-0512-40f8-83f5-ef9d1e67b9e7,32beb94f-7706-48e8-a679-4b0411b2b118,52d7a3c1-76e1-41f9-a014-c3011744f6af,2023-01-01
cc6e086d-5754-44ab-82c5-69c8cd4a0552,c36fe690-66e2-40a5-94d3-dfe8aa371814,e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,2023-01-01
a8fbc382-7496-4f18-8ac4-7ea1b093afca,c36fe690-66e2-40a5-94d3-dfe8aa371814,f5a367f6-ce08-4992-bf08-5e8974288425,2023-01-01
7e47512d-65ca-4382-97eb-412690bdef95,c36fe690-66e2-40a5-94d3-dfe8aa371814,8838f8b8-3b9c-49d9-9a95-acceb50df0b6,2023-01-01
